Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;60:60:1F:03:10:DC;;4;No;OPN,None;No;54.0;0;11;0;0;0;0;0;;;Mon Mar 11 11:30:47 2019;Mon Mar 11 11:30:54 2019;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Phantom_62c06e;60:60:1F:62:C0:6E;;4;No;OPN,None;No;54.0;0;31;0;0;0;0;0;;;Mon Mar 11 11:30:45 2019;Mon Mar 11 11:30:57 2019;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
